complète/ADJ  complète
crisco2012/NOM  crisco2012
mixer/VER:infi  mixer
présentable/ADJ  présentable
Bonjour/NOM  bonjour
sur4/NOM  sur4
MAMWEISS/NAM  MAMWEISS
gratin/NOM  gratin
botte/NOM  botte
Laver/NAM  Laver
yeux/NOM  �il
quasiment/ADV  quasiment
résultat/NOM  résultat
Paupiettes/NOM  paupiette
bardes/NOM  barde
Jana/NAM  Jana
Co�t/NAM  Co�t
extra/ADJ  extra
haute/ADJ  haut
Pâques/NAM  Pâques
zoizo/ADJ  zoizo
c�pres/NOM  c�pre
Lieu/NAM  Lieu
pinc�e/NOM  pinc�e
Lucie_328_NOM/Lucie  328
Home/ADJ  Home
11/NUM  11
pyrex/NOM  pyrex
l�/ADV  l�
girofle/NOM  girofle
chimay/NOM  chimay
pimentée/VER:pres  pimentée
leurs/DET:POS  leur
Assez/ADV  assez
pratiques/VER:subp  pratiquer
épaisse/NOM  épaisse
Plats/NOM  plat
th.6/180°C.Entaillez/VER:pres  th.6/180°C.Entaillez
Lorsque/KON  lorsque
Incontournables/ADJ  incontournable
étoiles/NOM  étoiles
g/NOM  g
pointes/NOM  pointe
Ni/KON  ni
secret/NOM  secret
carte/NOM  carte
absorber/VER:infi  absorber
extrémité.Videz/VER:pres  extrémité.Videz
Recette/NOM  recette
Un/DET:ART  un
alle/ADJ  alle
chataignes/NOM  chataignes
Claire/NAM  Claire
Gigot/NAM  Gigot
succès/NOM  succès
11/05/2007/NUM  11/05/2007
cantal/NOM  cantal
tomate/NOM  tomate
creole/NOM  creole
français/VER:impf  français
Réaliser/VER:infi  Réaliser
dor�s/VER:pper  dorer
gratiné/VER:pper  gratiné
eau.Pr�chauffez/NOM  eau.Pr�chauffez
personne/NOM  personne
mm/NOM  mm
idéale/ADJ  idéale
piquez/VER:pres  piquer
Préparation/NOM  Préparation
agar-agar/NOM  agar-agar
agréables/ADJ  agréables
côté/VER:pper  côté
magnifique/ADJ  magnifique
fondu/VER:pper  fondre
muscade/ADJ  muscade
uniforme/ADJ  uniforme
soles/NOM  sole
semaines/NOM  semaine
assiette/NOM  assiette
dit/VER:pper  dire
farinez/VER:pres  fariner
feuilletée/VER:pres  feuilletée
'fior/NOM  'fior
lasagne,ensuite/NOM  lasagne,ensuite
signaler/VER:infi  signaler
Aplatissez/VER:pres  aplatir
66/NUM  66
rue/NOM  rue
Une/VER:subi  Une
hérésie/NOM  hérésie
er/VER:simp  er
3h/NOM  3h
inscrit/VER:pper  inscrire
02/11/2008/NUM  02/11/2008
dimanche/NOM  dimanche
-ci/ADV  -ci
Fruits/NAM  Fruits
Apportez/VER:pres  apporter
loribado/NOM  loribado
br�ler/VER:infi  br�ler
fourchette.Dénoyautez/VER:pres  fourchette.Dénoyautez
A/PRP  �
AnneSophie_946_NOM/AnneSophie  946
maison/NOM  maison
supercyril/NOM  supercyril
soleil/NOM  soleil
6/ABR  6
pourquoi/ADV  pourquoi
déguster/VER:infi  déguster
décongeler/VER:infi  décongeler
oranges/ADJ  orange
bo�tes/NOM  bo�te
lav�s/VER:pper  laver
air/NOM  air
Gâteau/NAM  Gâteau
foie/NOM  foie
FACEBOOK/NAM  FACEBOOK
Biryani/NAM  Biryani
existe/VER:pres  exister
attention/NOM  attention
transférer/VER:infi  transférer
rois/NOM  roi
tenterais/VER:cond  tenter
citronnelle/NOM  citronnelle
érable/ADJ  érable
�bullition.Retirez/NOM  �bullition.Retirez
tunisienne/ADJ  tunisien
confère/VER:pres  confère
travers/NOM  travers
17eme/ADJ  17eme
Escalopes/ADJ  Escalopes
poudre/VER:pres  poudrer
surtout/ADV  surtout
Corinne/NAM  Corinne
Petits/NOM  petit
sophie/NOM  sophie
180°C).Décongelez/VER:pres  180°C).Décongelez
chefs/NOM  chef
forc�ment/VER:pres  forc�ment
grâce/NOM  grâce
nos/DET:POS  notre
puissance/NOM  puissance
Ou/KON  ou
adopté/VER:pper  adopté
r�pe/NOM  r�pe
connecté/VER:pper  connecté
Carnet/NAM  Carnet
QUESTION/NOM  question
baptême/NOM  baptême
Suspens/ADJ  suspens
Servez/ABR  Servez
aubergine/ADJ  aubergine
chévre/NOM  chévre
2008./PRP:det  2008.
50/NUM  50
correct/ADJ  correct
Par/NAM  Par
19/05/2012/NUM  19/05/2012
gagner/VER:infi  gagner
ta/DET:POS  ton
4.6/NUM  4.6
assaisonné/VER:pper  assaisonné
