3h45/NOM  3h45
ébullition/NOM  ébullition
Par/PRP  par
Assez/ADV  assez
pendant/PRP  pendant
soupe/VER:pres  souper
faire/VER:infi  faire
recette/NOM  recette
elle/PRO:PER  elle
fois/NOM  foi|fois
Recettes/NOM  recette
Remarques/NAM  Remarques
mettez/VER:pres  mettre
terre/NOM  terre
organiser/VER:infi  organiser
écumez/VER:pres  écumez
Dans/PRP  dans
tarte/ADJ  tarte
bien/ADV  bien
côté/NOM  côté
Gratin/NOM  gratin
5/5/NUM  5/5
2ème/ADJ  2ème
Servez/VER:pres  servir
apprécié/VER:pper  apprécié
canard/NOM  canard
ait/VER:subp  avoir
aimé/VER:pper  aimé
Il/PRO:PER  il
Préparation/NOM  Préparation
Nouveautés/NAM  Nouveautés
cuisine/VER:pres  cuisiner
creole/NOM  creole
h/ABR  heure
chaîne/NOM  chaîne
salé/NOM  salé
*/VER:futu  *
droits/NOM  droit
.../PUN  ...
recouverts/VER:pper  recouvrir
hasard/NOM  hasard
06/11/2011/NUM  06/11/2011
difficile/ADJ  difficile
délicieuse/ADJ  délicieuse
savoyard/ADJ  savoyard
excellent/ADJ  excellent
gateau/NOM  gateau
envie/VER:impe  envier
car/KON  car
J'/NAM  J'
cuillère/NOM  cuillère
partout/ADV  partout
coupé/VER:pper  coupé
bordeaux/NOM  bordeau|bordeaux
feuilles/NOM  feuille
invités/NOM  invités
tout/ADV  tout
cuisiniere/NOM  cuisiniere
frémissements/NOM  frémissements
Forums/NOM  forum
ail/NOM  ail
mijoter/VER:infi  mijoter
hiver/NOM  hiver
et/KON  et
régal/NOM  régal
n'/ADV  ne
Consultez/VER:pres  consulter
frais/ADJ  frais
retournant/VER:ppre  retourner
¤/NOM  ¤
semaine/NOM  semaine
-y/PRO:PER  y
saucisse/NOM  saucisse
mère/NOM  mère
Inscription/NOM  inscription
merveille/NOM  merveille
connecter/VER:infi  connecter
simplement/ADV  simplement
goutant/VER:ppre  goutant
tomate/NOM  tomate
Haricots/NOM  haricot
en/PRP  en
ai/VER:pres  avoir
laurier/NOM  laurier
Chocolat/NAM  Chocolat
carnet/NOM  carnet
m'/PRO:PER  me
est/VER:pres  �tre
Pour/NAM  Pour
chauffer/VER:infi  chauffer
dessus/ADV  dessus
haricots/viandes/ADJ  haricots/viandes
morceaux/NOM  morceau
beaucoup/ADV  beaucoup
partie/NOM  partie
tous/PRO:IND  tout
froide/ADJ  froid
trouvé/VER:pper  trouvé
perso/NOM  perso
vin/NOM  vin
