Riz/NAM  Riz
el/VER:simp  el
pendant/PRP  pendant
soupe/VER:pres  souper
faire/VER:infi  faire
recette/NOM  recette
fois/NOM  foi|fois
Recettes/NOM  recette
Remarques/NAM  Remarques
organiser/VER:infi  organiser
bien/ADV  bien
Conseil/NOM  conseil
5/5/NUM  5/5
pois/NOM  pois
couscoussier/NOM  couscoussier
aimé/VER:pper  aimé
brochettes/NOM  brochette
boîte/NOM  boîte
chiches/ADJ  chiche
framboises/NOM  framboise
Toute/VER:pres  Toute
coco/NOM  coco
Ras/NOM  ras
quantités/NOM  quantités
Préparation/NOM  Préparation
chiche/ADJ  chiche
Nouveautés/NAM  Nouveautés
chaîne/NOM  chaîne
*/VER:futu  *
droits/NOM  droit
oublie/VER:subp  oublier
.../PUN  ...
alternant/NOM  alternant
paprika/NOM  paprika
hasard/NOM  hasard
bout/NOM  bout
difficile/ADJ  difficile
cubes/NOM  cube
envie/VER:impe  envier
car/KON  car
J'/NAM  J'
premier/NUM  premier
aime/VER:pres  aimer
herbes/NOM  herbe
enrobees/NOM  enrobees
cocotte/VER:pres  cocotter
Forums/NOM  forum
mijoter/VER:infi  mijoter
et/KON  et
americains/ADJ  americains
goût/VER:futu  goût
juste/ADJ  juste
n'/ADV  ne
Consultez/VER:pres  consulter
61/NUM  61
cm/NOM  cm
¤/NOM  ¤
semaine/NOM  semaine
légumes/NOM  légumes
bo/NOM  bo
45/NUM  45
goûts/NOM  goûts
Inscription/NOM  inscription
connecter/VER:infi  connecter
en/PRO:PER  en
safran/NOM  safran
tomate/NOM  tomate
Fenouil/NOM  fenouil
en/PRP  en
boîte(1/4/NOM  boîte(1/4
côté/VER:pper  côté
ai/VER:pres  avoir
carnet/NOM  carnet
collier/NOM  collier
31/05/2012/NUM  31/05/2012
est/VER:pres  �tre
bricks/NOM  brick
Pour/NAM  Pour
hanout/NOM  hanout
morceaux/NOM  morceau
beaucoup/ADV  beaucoup
provences/NOM  provences
tous/PRO:IND  tout
traditionnel/ADJ  traditionnel
perso/NOM  perso
vin/NOM  vin
aux/PRP:det  au
marocain/ADJ  marocain
retirer/VER:infi  retirer
degrés/NOM  degrés
notre/DET:POS  notre
d'/PRP  de
09/07/2012/NUM  09/07/2012
Découper/VER:infi  Découper
crevettes/NOM  crevette
vapeur/NOM  vapeur
parfait/ADJ  parfait
Super/NAM  Super
toute/PRO:IND  tout
J'/PRO:PER  je
Accueil/NAM  Accueil
presque/ADV  presque
Veritables/ADJ  Veritables
kg/ABR  kg
viande/NOM  viande
Sélections/NAM  Sélections
Couscous/NOM  couscous
vraiment/ADV  vraiment
pas/ADV  pas
relevé/VER:pper  relevé
réduction/NOM  réduction
moyennes/ADJ  moyen
semoule/NOM  semoule
100/NUM  100
secs/ADJ  sec
cuisson/NOM  cuisson
1/2/NUM  1/2
à/VER:pper  à
votes/NOM  vote
Tous/NAM  Tous
merguez/NOM  merguez
voir/VER:infi  voir
avis/NOM  avis
s'/PRO:PER  se
]/PUN  ]
base/NOM  base
commentaires/NOM  commentaire
Vidéo/NAM  Vidéo
>/VER:pper  >
d/ADJ  d
poser/VER:infi  poser
 /VER:pper   
carottes/NOM  carotte
principal/ADJ  principal
saler/VER:infi  saler
un/NUM  un
?/SENT  ?
automne/NOM  automne
Photos/NOM  photo
compliqué/VER:pper  compliqué
Fougasse/VER:subi  Fougasse
moyenne/ADJ  moyen
Cuire/NOM  Cuire
selon/PRP  selon
1h/NOM  1h
cookies/NOM  cookies
nous/PRO:PER  nous
avec/PRP  avec
Problème/NOM  Problème
broche/VER:pres  brocher
sinon/KON  sinon
A/PRP  �
recouvir/VER:infi  recouvir
Top/NAM  Top
g/NOM  g
sans/PRP  sans
8/NUM  8
poulet/NOM  poulet
audrey_3123_NOM/audrey  3123
gros/ADJ  gros
Faire/VER:infi  faire
parfumées/ADJ  parfumées
stocker/VER:infi  stocker
des/PRP:det  du
Trouver/VER:infi  trouver
aperitif/ADJ  aperitif
très/ADJ  très
Je/PRO:PER  je
Se/VER:pper  Se
Servir/VER:infi  servir
sauce/NOM  sauce
Techniques/ADJ  technique
four/NOM  four
