Déjà/NAM  Déjà
contraire/NOM  contraire
pendant/PRP  pendant
Gigot/NAM  Gigot
faire/VER:infi  faire
recette/NOM  recette
fois/NOM  foi|fois
Bordeaux/NAM  Bordeaux
Recettes/NOM  recette
Une/NUM  un
organiser/VER:infi  organiser
Bourguignon/NAM  Bourguignon
côté/NOM  côté
point/NOM  point
Conseil/NOM  conseil
fait/VER:pres  faire
5/5/NUM  5/5
cognac/NOM  cognac
déposer/VER:infi  déposer
Surveiller/VER:infi  surveiller
aimé/VER:pper  aimé
voire/ADV  voire
30/07/2012/NUM  30/07/2012
Toute/VER:pres  Toute
quantités/NOM  quantités
Préparation/NOM  Préparation
succès/ADJ  succès
servir/VER:infi  servir
Nouveautés/NAM  Nouveautés
dresser/VER:infi  dresser
prochaine/ADJ  prochain
chaîne/NOM  chaîne
*/VER:futu  *
droits/NOM  droit
.../PUN  ...
certaine/ADJ  certain
généreux/ADJ  généreux
Mais/KON  mais
hasard/NOM  hasard
cours/NOM  cour|cours
adore/VER:pres  adorer
Poulet/NOM  poulet
table/NOM  table
envie/VER:impe  envier
car/KON  car
J'/NAM  J'
cuillère/NOM  cuillère
toujours/ADV  toujours
entrées/NOM  entrées
invités/NOM  invités
saumon/NOM  saumon
confites/VER:pper  confire
Rectifier/VER:infi  rectifier
fume/VER:subp  fumer
Facile/NAM  Facile
breizh/NOM  breizh
Forums/NOM  forum
ail/NOM  ail
Rougail/NAM  Rougail
ca/VER:subi  ca
et/KON  et
Sensations/VER:subp  Sensations
régal/NOM  régal
utilise/VER:pres  utiliser
n'/ADV  ne
Consultez/VER:pres  consulter
200/NUM  200
chaude/ADJ  chaud
¤/NOM  ¤
légumes/NOM  légumes
semaine/NOM  semaine
saucisse/NOM  saucisse
Inscription/NOM  inscription
connecter/VER:infi  connecter
pique/NOM  pique
en/PRO:PER  en
couennes/NOM  couenne
ferons/VER:futu  faire
>/NOM  >
en/PRP  en
laurier/NOM  laurier
persils/NOM  persil
ai/VER:pres  avoir
