stephanie_4235_NOM/stephanie  4235
préchauffer/VER:infi  préchauffer
passoire/NOM  passoire
appareil/NOM  appareil
filet/NOM  filet
soupe/VER:pres  souper
faire/VER:infi  faire
changer/VER:infi  changer
recette/NOM  recette
fois/NOM  foi|fois
3h/NOM  3h
11/09/2012/NUM  11/09/2012
Recettes/NOM  recette
Remarques/NAM  Remarques
dés/NOM  dés
terre/NOM  terre
organiser/VER:infi  organiser
côté/NOM  côté
Conseil/NOM  conseil
Gratin/NOM  gratin
5/5/NUM  5/5
mélanger/VER:infi  mélanger
apprécié/VER:pper  apprécié
moi/PRO:PER  moi
Moussaka/NOM  moussaka
peine/NOM  peine
aimé/VER:pper  aimé
lettre/NOM  lettre
09/09/2012/NUM  09/09/2012
Avis/NAM  Avis
farine/NOM  farine
Toute/VER:pres  Toute
Préparation/NOM  Préparation
longue/ADJ  longue
servir/VER:infi  servir
200°/NOM  200°
PETIT/NAM  Petit
Nouveautés/NAM  Nouveautés
h/ABR  heure
chaîne/NOM  chaîne
oui/INT  oui
râper/VER:infi  râper
malgré/NOM  malgré
arrêtant/VER:ppre  arrêtant
*/VER:futu  *
177/NUM  177
droits/NOM  droit
papier/NOM  papier
mercredi/NOM  mercredi
obtenir/VER:infi  obtenir
.../PUN  ...
hasard/NOM  hasard
matinée/ADJ  matinée
Dans/VER:simp  Dans
difficile/ADJ  difficile
08/09/2012/NUM  08/09/2012
satisfaite/VER:pper  satisfaire
envie/VER:impe  envier
J'/NAM  J'
cherché/VER:pper  cherché
cuillère/NOM  cuillère
celle/PRO:DEM  celui
tout/ADV  tout
Petales/ADJ  Petales
Forums/NOM  forum
et/KON  et
tarama/NOM  tarama
n'/ADV  ne
citronnelle/NOM  citronnelle
Consultez/VER:pres  consulter
Arroser/VER:infi  arroser
¤/NOM  ¤
semaine/NOM  semaine
pour/KON  pour
Inscription/NOM  inscription
suivi/VER:pper  suivre
moelleux/ADJ  moelleux
connecter/VER:infi  connecter
Bravo/INT  bravo
simplement/ADV  simplement
en/PRO:PER  en
tomate/NOM  tomate
en/PRP  en
peler/VER:infi  peler
ai/VER:pres  avoir
carnet/NOM  carnet
patates/NOM  patate
est/VER:pres  �tre
Pour/NAM  Pour
dessus/ADV  dessus
beaucoup/ADV  beaucoup
Tout/NAM  Tout
trouvé/VER:pper  trouvé
grosses/ADJ  gros
griller/VER:infi  griller
nulle/ADJ  nul
Par/NAM  Par
perso/NOM  perso
Très/NAM  Très
vin/NOM  vin
aux/PRP:det  au
vaut/VER:pres  valoir
retirer/VER:infi  retirer
degrés/NOM  degrés
notre/DET:POS  notre
redemandent/VER:pres  redemander
d'/PRP  de
cl/NOM  cl
durs/ADJ  dur
découper/VER:infi  découper
modifs/NOM  modifs
tranches/NOM  tranche
toute/PRO:IND  tout
J'/PRO:PER  je
cela/PRO:DEM  cela
inventée/ADJ  inventée
Accueil/NAM  Accueil
500/NUM  500
tomate-oignons/NOM  tomate-oignons
liza/NOM  liza
viande/NOM  viande
Sélections/NAM  Sélections
pas/ADV  pas
gaufres/NOM  gaufre
Tout/PRO:IND  tout
terres/NOM  terre
fenouil/NOM  fenouil
réduction/NOM  réduction
provencale/ADJ  provencale
100/NUM  100
cuisson/NOM  cuisson
à/VER:pper  à
votes/NOM  vote
Tous/NAM  Tous
oignon/NOM  oignon
voir/VER:infi  voir
chocolat/NOM  chocolat
avis/NOM  avis
gratin/NOM  gratin
]/PUN  ]
12/09/2012/NUM  12/09/2012
commentaires/NOM  commentaire
