origan/NOM  origan
ébullition/NOM  ébullition
Par/PRP  par
choisi/VER:pper  choisir
pendant/PRP  pendant
soupe/VER:pres  souper
faire/VER:infi  faire
recette/NOM  recette
fraîches/NOM  fraîches
bretonne/ADJ  breton
Recettes/NOM  recette
Remarques/NAM  Remarques
Pain/NAM  Pain
dés/NOM  dés
mettez/VER:pres  mettre
résultat/NOM  résultat
organiser/VER:infi  organiser
félicitations/NOM  félicitations
5/5/NUM  5/5
350/NUM  350
Rajoutez/VER:pres  rajouter
1h/ADJ  1h
fasse/VER:subp  faire
apprécié/VER:pper  apprécié
moi/PRO:PER  moi
aimé/VER:pper  aimé
sauces/NOM  sauce
boîte/NOM  boîte
Préparation/NOM  Préparation
sûr/NOM  sûr
Nouveautés/NAM  Nouveautés
chaîne/NOM  chaîne
*/VER:futu  *
droits/NOM  droit
accordant/VER:ppre  accorder
demie/NOM  demi|demie
.../PUN  ...
hasard/NOM  hasard
paquets/NOM  paquet
coupées/VER:pres  coupées
38/NUM  38
remuez/VER:pres  remuer
préalablement/NOM  préalablement
délicieuse/ADJ  délicieuse
Chef/NAM  Chef
envie/VER:impe  envier
J'/NAM  J'
cuillère/NOM  cuillère
voulu/VER:pper  vouloir
30/10/2011/NUM  30/10/2011
Sultane/NOM  sultane
Forums/NOM  forum
dilué/VER:pper  dilué
ail/NOM  ail
mijoter/VER:infi  mijoter
gruyere/NOM  gruyere
et/KON  et
régal/NOM  régal
n'/ADV  ne
Consultez/VER:pres  consulter
17/03/2012/NUM  17/03/2012
¤/NOM  ¤
semaine/NOM  semaine
actu/NOM  actu
Inscription/NOM  inscription
Réalisez/VER:pres  Réalisez
suivi/VER:pper  suivre
rapees/NOM  rapees
connecter/VER:infi  connecter
flamme/NOM  flamme
en/PRO:PER  en
tomate/NOM  tomate
savoureux/ADJ  savoureux
safran/NOM  safran
Baisser/VER:infi  baisser
>/NOM  >
grande/ADJ  grand
en/PRP  en
ai/VER:pres  avoir
carnet/NOM  carnet
flotte0669/NOM  flotte0669
seul/ADJ  seul
est/VER:pres  �tre
Pour/NAM  Pour
chauffer/VER:infi  chauffer
Carottes/NAM  Carottes
principales/ADJ  principal
Tout/NAM  Tout
St/VER:simp  St
céleri/NOM  céleri
ratatouille/NOM  ratatouille
perso/NOM  perso
vin/NOM  vin
aux/PRP:det  au
degrés/NOM  degrés
notre/DET:POS  notre
Recettes/VER:pres  Recettes
d'/PRP  de
toute/PRO:IND  tout
J'/PRO:PER  je
kenya/NOM  kenya
