original/ADJ  original
ébullition/NOM  ébullition
'/PUN  '
faire/VER:infi  faire
changer/VER:infi  changer
recette/NOM  recette
fois/NOM  foi|fois
Recettes/NOM  recette
Remarques/NAM  Remarques
Spaghettis/VER:pper  Spaghettis
organiser/VER:infi  organiser
Pâtes/NOM  Pâtes
bien/ADV  bien
5/5/NUM  5/5
fait/VER:pres  faire
Tarte/ADJ  tarte
aimé/VER:pper  aimé
coppa/NOM  coppa
lettre/NOM  lettre
Nico/NAM  Nico
provence/NOM  provence
Préparation/NOM  Préparation
Nouveautés/NAM  Nouveautés
prochaine/ADJ  prochain
chaîne/NOM  chaîne
*/VER:futu  *
droits/NOM  droit
.../PUN  ...
Préparation&nbsp/NAM  Préparation&nbsp
hasard/NOM  hasard
Bien/NAM  Bien
24/03/2012/NUM  24/03/2012
excellent/ADJ  excellent
envie/VER:impe  envier
Miam/NAM  Miam
non/ADV  non
J'/NAM  J'
Filets/NOM  filet
coupé/VER:pper  coupé
saumon/NOM  saumon
fume/VER:subp  fumer
Forums/NOM  forum
ail/NOM  ail
poires/NOM  poire
et/KON  et
n'/ADV  ne
Consultez/VER:pres  consulter
200/NUM  200
¤/NOM  ¤
semaine/NOM  semaine
-y/PRO:PER  y
pour/KON  pour
Inscription/NOM  inscription
suivi/VER:pper  suivre
connecter/VER:infi  connecter
salad/NOM  salad
tomate/NOM  tomate
dessis/NOM  dessis
en/PRP  en
ai/VER:pres  avoir
carnet/NOM  carnet
est/VER:pres  �tre
Pour/NAM  Pour
Séparez/VER:pres  Séparez
trouvé/VER:pper  trouvé
variante/NOM  variante
grosses/ADJ  gros
Confiture/NAM  Confiture
large/ADJ  large
perso/NOM  perso
vin/NOM  vin
aux/PRP:det  au
degrés/NOM  degrés
notre/DET:POS  notre
d'/PRP  de
Vous/PRO:PER  vous
cl/NOM  cl
tagliatelles/NOM  tagliatelles
reste/VER:pres  rester
toute/PRO:IND  tout
J'/PRO:PER  je
creme/NOM  creme
Accueil/NAM  Accueil
presque/ADV  presque
carbonara/NOM  carbonara
Sélections/NAM  Sélections
volume/NOM  volume
pas/ADV  pas
réduction/NOM  réduction
100/NUM  100
cuisson/NOM  cuisson
à/VER:pper  à
votes/NOM  vote
Tous/NAM  Tous
fumés/ADJ  fumés
Faire/ADJ  Faire
oignon/NOM  oignon
émincés/ADJ  émincés
voir/VER:infi  voir
chocolat/NOM  chocolat
146/NUM  146
pâtes/NOM  pâtes
façon/ADJ  façon
avis/NOM  avis
écœurante/ADJ  écœurante
]/PUN  ]
commentaires/NOM  commentaire
Vidéo/NAM  Vidéo
>/VER:pper  >
poser/VER:infi  poser
 /VER:pper   
principal/ADJ  principal
crémeuse/ADJ  crémeuse
?/SENT  ?
Photos/NOM  photo
à/NOM  à
eleaqdr/NOM  eleaqdr
laisser/VER:infi  laisser
marché/NOM  marché
que/KON  que
nous/PRO:PER  nous
avec/PRP  avec
échalotes/NOM  échalotes
Problème/NOM  Problème
muscade/ADJ  muscade
A/PRP  �
lors/ADV  lors
Top/NAM  Top
g/NOM  g
sans/PRP  sans
framboise/NOM  framboise
poulet/NOM  poulet
Gardez/VER:pres  garder
gros/ADJ  gros
stocker/VER:infi  stocker
25/03/2012/NUM  25/03/2012
des/PRP:det  du
Trouver/VER:infi  trouver
sarah/NOM  sarah
encore/ADV  encore
aperitif/ADJ  aperitif
Versez/VER:pres  verser
très/ADJ  très
Je/PRO:PER  je
Se/VER:pper  Se
sauce/NOM  sauce
transcendant/ADJ  transcendant
gigerine/NOM  gigerine
chantilly/NOM  chantilly
Techniques/ADJ  technique
simple/ADJ  simple
carbonara/VER:simp  carbonara
du/PRP:det  du
