choisi/VER:pper  choisir
pendant/PRP  pendant
faire/VER:infi  faire
recette/NOM  recette
Recettes/NOM  recette
mettez/VER:pres  mettre
terre/NOM  terre
froid/ADJ  froid
organiser/VER:infi  organiser
Dans/PRP  dans
bien/ADV  bien
5/5/NUM  5/5
Curry/NAM  Curry
aimé/VER:pper  aimé
presse-agrume/NOM  presse-agrume
régalent/VER:pres  régalent
pepites/NOM  pepites
Ras/NOM  ras
Préparation/NOM  Préparation
Nouveautés/NAM  Nouveautés
chaîne/NOM  chaîne
*/VER:futu  *
droits/NOM  droit
.../PUN  ...
douces/ADJ  doux
Préparation&nbsp/NAM  Préparation&nbsp
hasard/NOM  hasard
tajine/NOM  tajine
Poulet/NOM  poulet
grille/NOM  grille
vache/NOM  vache
macaronis/NOM  macaroni
envie/VER:impe  envier
26/02/2011/NUM  26/02/2011
NB/NOM  NB
J'/NAM  J'
cuillère/NOM  cuillère
invités/NOM  invités
Pas/NAM  Pas
Forums/NOM  forum
mijoter/VER:infi  mijoter
et/KON  et
n'/ADV  ne
Consultez/VER:pres  consulter
¤/NOM  ¤
semaine/NOM  semaine
pour/KON  pour
45/NUM  45
Tajine/VER:pres  Tajine
Inscription/NOM  inscription
moelleux/ADJ  moelleux
connecter/VER:infi  connecter
citronnee/ADJ  citronnee
en/PRP  en
ai/VER:pres  avoir
carnet/NOM  carnet
est/VER:pres  �tre
Pour/NAM  Pour
chauffer/VER:infi  chauffer
beaucoup/ADV  beaucoup
-le/PRO:PER  le
micro/NOM  micro
perso/NOM  perso
aux/PRP:det  au
degrés/NOM  degrés
amoureux/NOM  amoureux
notre/DET:POS  notre
d'/PRP  de
directement/ADV  directement
coriandre/NOM  coriandre
minimum/NOM  minimum
toute/PRO:IND  tout
28/10/2010/NUM  28/10/2010
J'/PRO:PER  je
cela/PRO:DEM  cela
Accueil/NAM  Accueil
dorer/VER:infi  dorer
Sélections/NAM  Sélections
vraiment/ADV  vraiment
inflammatoires/ADJ  inflammatoire
pas/ADV  pas
Tout/PRO:IND  tout
terres/NOM  terre
réduction/NOM  réduction
Crepes/VER:pres  Crepes
semoule/NOM  semoule
100/NUM  100
à/VER:pper  à
votes/NOM  vote
Tous/NAM  Tous
oignon/NOM  oignon
accompagné/VER:pper  accompagné
Mettre/VER:infi  mettre
voir/VER:infi  voir
chocolat/NOM  chocolat
avis/NOM  avis
s'/PRO:PER  se
]/PUN  ]
commentaires/NOM  commentaire
Vidéo/NAM  Vidéo
>/VER:pper  >
poser/VER:infi  poser
 /VER:pper   
citron/ADJ  citron
carottes/NOM  carotte
principal/ADJ  principal
?/SENT  ?
Photos/NOM  photo
il/PRO:PER  il
déglacé/VER:pper  déglacé
nutella/NOM  nutella
marché/NOM  marché
08/11/2011/NUM  08/11/2011
que/KON  que
Citron/NOM  citron
regime/NOM  regime
quatre/NUM  quatre
type/NOM  type
nous/PRO:PER  nous
avec/PRP  avec
couvrir/VER:infi  couvrir
fraîche,et/ADJ  fraîche,et
sardines/NOM  sardine
legeres/NOM  legeres
Problème/NOM  Problème
fourchette/NOM  fourchette
A/PRP  �
cuisses/NOM  cuisse
Top/NAM  Top
delice/ADJ  delice
refaire/VER:infi  refaire
