madere/NOM  madere
pendant/PRP  pendant
faire/VER:infi  faire
recette/NOM  recette
elle/PRO:PER  elle
bouillante/ADJ  bouillant
fois/NOM  foi|fois
Recettes/NOM  recette
11/09/2012/NUM  11/09/2012
dés/NOM  dés
terre/NOM  terre
mamie/NOM  mamie
organiser/VER:infi  organiser
bien/ADV  bien
Gratin/NOM  gratin
5/5/NUM  5/5
donne/VER:pres  donner
pois/NOM  pois
Servez/VER:pres  servir
Lucanto/NOM  Lucanto
Gaufrettes/NOM  gaufrette
aimé/VER:pper  aimé
voire/ADV  voire
Far/NAM  Far
plaira/VER:futu  plaire
Avis/NAM  Avis
Toute/VER:pres  Toute
assaisonnées/NOM  assaisonnées
Préparation/NOM  Préparation
Nouveautés/NAM  Nouveautés
chaîne/NOM  chaîne
*/VER:futu  *
Sotd/NAM  Sotd
droits/NOM  droit
.../PUN  ...
fruits/NOM  fruit
hasard/NOM  hasard
Épluchez/VER:pres  Épluchez
excellent/ADJ  excellent
gourmands/NOM  gourmand
envie/VER:impe  envier
J'/NAM  J'
Facile/NAM  Facile
Forums/NOM  forum
mijoter/VER:infi  mijoter
et/KON  et
juste/ADJ  juste
n'/ADV  ne
Consultez/VER:pres  consulter
frais/ADJ  frais
¤/NOM  ¤
semaine/NOM  semaine
fraîche/NOM  fraîche
savoie/NOM  savoie
Grattez/VER:pres  gratter
bacon/NOM  bacon
Inscription/NOM  inscription
connecter/VER:infi  connecter
essaie/VER:pres  essayer
échalote/NOM  échalote
tomate/NOM  tomate
>/NOM  >
en/PRP  en
ai/VER:pres  avoir
carnet/NOM  carnet
est/VER:pres  �tre
Pour/NAM  Pour
leur/DET:POS  leur
pomme/NOM  pomme
perso/NOM  perso
vin/NOM  vin
aux/PRP:det  au
degrés/NOM  degrés
notre/DET:POS  notre
Recettes/VER:pres  Recettes
recommander/VER:infi  recommander
d'/PRP  de
zoizo/ADJ  zoizo
cl/NOM  cl
imprégner/VER:infi  imprégner
toute/PRO:IND  tout
parfaite/VER:pper  parfaire
J'/PRO:PER  je
Accueil/NAM  Accueil
500/NUM  500
kg/ABR  kg
couteau/NOM  couteau
Sélections/NAM  Sélections
pas/ADV  pas
réduction/NOM  réduction
cancoillotte/NOM  cancoillotte
Rognons/NOM  rognon
100/NUM  100
cuisson/NOM  cuisson
faites/VER:pres  faire
à/VER:pper  à
votes/NOM  vote
demi/NOM  demi
Tous/NAM  Tous
coupez/VER:pres  couper
voir/VER:infi  voir
gratin/NOM  gratin
facultatif/ADJ  facultatif
avis/NOM  avis
s'/PRO:PER  se
]/PUN  ]
commentaires/NOM  commentaire
Vidéo/NAM  Vidéo
>/VER:pper  >
poser/VER:infi  poser
182/NUM  182
 /VER:pper   
principal/ADJ  principal
?/SENT  ?
Photos/NOM  photo
à/NOM  à
reblochon/NOM  reblochon
que/KON  que
fines/ADJ  fin
me/PRO:PER  me
nous/PRO:PER  nous
avec/PRP  avec
verte/ADJ  vert
Christophe_de_Marmiton_NAM_Christophe/de  Marmiton
Problème/NOM  Problème
muscade/ADJ  muscade
A/PRP  �
Top/NAM  Top
g/NOM  g
15/06/2012/NUM  15/06/2012
Laissez/VER:pres  laisser
